CEDICT with Classical Mandarin pronunciation (中州音)		
v20200702		
Trascription curated by Hien-haw Liow		
License: cc-by-sa 3.0		
character	pronunciation	gloss
事理	ʂʱɨ˨˦ li˥˧	/reason/logic/
事由	ʂʱɨ˨˦ jiw˩	/main content/matter/work/origin of an incident/cause/purpose/subject (of business letter)/
事界	ʂʱɨ˨˦ kiai˨˦	/event horizon/
事略	ʂʱɨ˨˦ liɒʔᵏ˩	/biographical sketch/
事發地點	ʂʱɨ˨˦ faʔᵗ di˨˦ tiɛm˥˧	/the scene of the incident/
事發時	ʂʱɨ˨˦ faʔᵗ ʃʱɨ˩	/the time of the incident/
事證	ʂʱɨ˨˦ tʃiŋ˨˦	/evidence/
事變	ʂʱɨ˨˦ piɛn˨˦	/incident/unforeseen event/events (in general)/
事跡	ʂʱɨ˨˦ tsiʔᵏ	/deed/past achievement/important event of the past/
事項	ʂʱɨ˨˦ ɦiɑŋ'˨˦	/matter/item/
事體	ʂʱɨ˨˦ tʰi˥˧	/things/affairs/decorum/
二	ɻ˨˦	/two/2/(Beijing dialect) stupid/
二世	ɻ˨˦ ʃji˨˦	/the Second (of numbered kings)/second generation (e.g. Chinese Americans)/
二人世界	ɻ˨˦ ʒin˩ ʃji˨˦ kiai˨˦	/world with only two people (usually refers to a romantic couple)/romantic couple's world/
二代	ɻ˨˦ dai˨˦	/secondary/twice in the year (of generations of insects, harvests etc)/
二來	ɻ˨˦ lai˩	/secondly, .../
二側	ɻ˨˦ ʈʂəʔᵏ	/two sides/
二價	ɻ˨˦ kia˨˦	/negotiable price/(chemistry) divalent/bivalent/
二元	ɻ˨˦ (ŋ)jyuɛn˩	/duality/dual/bipolar/binary/
二元論	ɻ˨˦ (ŋ)jyuɛn˩ lun˨˦	/dualism, belief that the universe is made of two different substance (e.g. mind and matter or good and evil)/
二元醇	ɻ˨˦ (ŋ)jyuɛn˩ ʃʱyun˩	/ethyl alcohol C2H5OH/
二八	ɻ˨˦ paʔᵗ	/16/sixteen/
二十	ɻ˨˦ ʃʱiʔᵖ˩	/twenty/20/
二十一世紀	ɻ˨˦ ʃʱiʔᵖ˩ ʔiʔᵗ ʃji˨˦ ki˥˧	/21st century/
二十一點	ɻ˨˦ ʃʱiʔᵖ˩ ʔiʔᵗ tiɛm˥˧	/blackjack (card game)/
二十世紀	ɻ˨˦ ʃʱiʔᵖ˩ ʃji˨˦ ki˥˧	/20th century/
二十六歲	ɻ˨˦ ʃʱiʔᵖ˩ luʔᵏ˩ sui˨˦	/26 years old/
二十四孝	ɻ˨˦ ʃʱiʔᵖ˩ sɨ˨˦ hiaw˨˦	/the Twenty-four Filial Exemplars, classic Confucian text on filial piety from Yuan dynasty/
二十四節氣	ɻ˨˦ ʃʱiʔᵖ˩ sɨ˨˦ tsiɛʔᵗ kʰi˨˦	/the 24 solar terms, calculated from the position of the sun on the ecliptic, that divide the year into 24 equal periods/
二十多	ɻ˨˦ ʃʱiʔᵖ˩ tɔ	/over 20/
二十年目睹之怪現狀	ɻ˨˦ ʃʱiʔᵖ˩ niɛn˩ muʔᵏ˩ tu˥˧ tʃɨ kwai˨˦ ɦiɛn˨˦ ɖʐwɑŋ˨˦	/The Strange State of the World Witnessed Over 20 Years, novel by late Qing novelist Wu Jianren 吳趼人|吴趼人/
二十面體	ɻ˨˦ ʃʱiʔᵖ˩ miɛn˨˦ tʰi˥˧	/icosahedron/
二哥	ɻ˨˦ kɔ	/second brother/
二奶	ɻ˨˦ nai˥˧	/mistress/second wife/lover/
二婚	ɻ˨˦ hun	/to marry for the second time/second marriage/second spouse/
二婚頭	ɻ˨˦ hun tʱəw˩	/remarried lady (contemptuous term)/lady who marries for a second time/
二寶	ɻ˨˦ paw˥˧	/second child/second baby/
二年生	ɻ˨˦ niɛn˩ ʂəŋ	/biennial (botany)/
二心	ɻ˨˦ sim	/disloyalty/half-heartedness/duplicity/
二戰	ɻ˨˦ tʃiɛn˨˦	/World War II/
二手	ɻ˨˦ ʃiw˥˧	/indirectly acquired/second-hand (information, equipment etc)/assistant/
二手煙	ɻ˨˦ ʃiw˥˧ ʔiɛn	/second-hand smoke/
二手貨	ɻ˨˦ ʃiw˥˧ hwɔ˨˦	/second-hand goods/used goods/
二把手	ɻ˨˦ pa˥˧ ʃiw˥˧	/deputy leader/the second-in-command/
二指	ɻ˨˦ tʃɨ˥˧	/index finger/
二月	ɻ˨˦ (ŋ)jyuɛʔᵗ˩	/February/second month (of the lunar year)/
二月份	ɻ˨˦ (ŋ)jyuɛʔᵗ˩ pin	/February/
二杆子	ɻ˨˦ kɑn tsɨ˥˧	/hot-tempered/rash/hot-tempered person/
二林	ɻ˨˦ lim˩	/Erhlin town in Changhua county 彰化縣|彰化县, Taiwan/
二次	ɻ˨˦ tsʰɨ˨˦	/second (i.e. number two)/second time/twice/(math.) quadratic (of degree two)/
二次元	ɻ˨˦ tsʰɨ˨˦ (ŋ)jyuɛn˩	/two-dimensional/the fictional worlds of anime, comics and games/
二次型	ɻ˨˦ tsʰɨ˨˦ ɦiŋ˩	/quadratic form (math.)/
二次多項式	ɻ˨˦ tsʰɨ˨˦ tɔ ɦiɑŋ'˨˦ ʃiʔᵏ	/quadratic polynomial/
二次方程	ɻ˨˦ tsʰɨ˨˦ fɑŋ tʃʱiŋ˩	/quadratic equation/
二次曲	ɻ˨˦ tsʰɨ˨˦ kʰyuʔᵏ	/quadratic curve/conic section (geometry)/
二次曲線	ɻ˨˦ tsʰɨ˨˦ kʰyuʔᵏ siɛn˨˦	/quadratic curve (geometry)/conic/
二次曲面	ɻ˨˦ tsʰɨ˨˦ kʰyuʔᵏ miɛn˨˦	/quadric surface (geometry)/
二毛子	ɻ˨˦ maw˩ tsɨ˥˧	/lit. secondary foreigner/(derogatory term for Chinese Christians and others associated with foreigners, used at the time of the Boxer Rebellion)/(coll.) westernized Chinese person/(derog.) person of mixed Chinese and Russian blood/(slang) Ukraine/German shepherd dog/(dialect) two-year-old goat/
二水	ɻ˨˦ ʂui˥˧	/Erhshui township in Changhua county 彰化縣|彰化县, Taiwan/
二水貨	ɻ˨˦ ʂui˥˧ hwɔ˨˦	/used goods/second hand goods/
二流	ɻ˨˦ liw˩	/second-rate/second-tier/
二流子	ɻ˨˦ liw˩ tsɨ˥˧	/loafer/idler/bum/
二甲	ɻ˨˦ kiaʔᵖ	/2nd rank of candidates who passed the imperial examination (i.e. 4th place and up)/
二百五	ɻ˨˦ pəʔᵏ (ŋ)u˥˧	/idiot/stupid person/a dope/
二等	ɻ˨˦ təŋ˥˧	/second class/second-rate/
二節棍	ɻ˨˦ tsiɛʔᵗ ɦun'˨˦	/nunchaku (weapon with two rods joined by a short chain, used in martial arts)/
二簡	ɻ˨˦ kian˥˧	/abbr. for 第二次漢字簡化方案|第二次汉字简化方案/
二簧	ɻ˨˦ ɦwɑŋ˩	/variant of 二黃|二黄/
二級	ɻ˨˦ kiʔᵖ	/grade 2/second class/category B/
二級頭	ɻ˨˦ kiʔᵖ tʱəw˩	/second stage (diving)/
二級頭呼吸器	ɻ˨˦ kiʔᵖ tʱəw˩ hu hiʔᵖ kʰi˨˦	/(diving) regulator/demand valve/
二老	ɻ˨˦ law˥˧	/mother and father/parents/
二者	ɻ˨˦ tʃiɛ˥˧	/both/both of them/neither/
二者之一	ɻ˨˦ tʃiɛ˥˧ tʃɨ ʔiʔᵗ	/either/
二聲	ɻ˨˦ ʃiŋ	/second tone/
二胎	ɻ˨˦ tʰai	/second pregnancy/
二胡	ɻ˨˦ ɦu˩	/erhu (Chinese 2-string fiddle)/alto fiddle/CL:把/
二茬罪	ɻ˨˦ tʃʱi˩ dzui'˨˦	/to suffer second persecution/
二話	ɻ˨˦ ɦwa˨˦	/objection/differing opinion/
二貨	ɻ˨˦ hwɔ˨˦	/(slang) fool/dunce/foolishly cute person/
二輪	ɻ˨˦ lyun˩	/second round (of a match or election)/
二逼	ɻ˨˦ piʔᵏ	/variant of 二屄/
二郎	ɻ˨˦ lɑŋ˩	/see 二郎神/
二郎神	ɻ˨˦ lɑŋ˩ ʃʱin˩	/Erlangshen, Chinese deity/
二醇	ɻ˨˦ ʃʱyun˩	/glycol/
二里頭	ɻ˨˦ li˥˧ tʱəw˩	/Erlitou (Xia dynasty 夏朝 archaeological site at Yanshi 偃师 in Luoyang 洛陽|洛阳, Henan)/
二鍋頭	ɻ˨˦ kwɔ tʱəw˩	/erguotou (sorghum liquor)/
二阿姨	ɻ˨˦ ʔɔ ji˩	/auntie, second eldest of sisters in mother's family/
二階	ɻ˨˦ kiai	/second order/quadratic (math.)/
二項式	ɻ˨˦ ɦiɑŋ'˨˦ ʃiʔᵏ	/two items/binomial (math.)/
二頭肌	ɻ˨˦ tʱəw˩ kji	/biceps muscle/
二鬼子	ɻ˨˦ kui˥˧ tsɨ˥˧	/traitor/collaborator with the enemy/
亍	tʃʰyuʔᵏ	/step with the right foot/see 彳亍/
云	jyun˩	/(classical) to say/
云云	jyun˩ jyun˩	/and so on/so and so/many and confused/
云城	jyun˩ tʃʱiŋ˩	/Yuncheng district of Yunfu city 雲浮市|云浮市, Guangdong/
互	ɦu˨˦	/mutual/
互利	ɦu˨˦ li˨˦	/mutually beneficial/
互助	ɦu˨˦ ɖʐu˨˦	/Huzhu Tuzu autonomous county in Haidong prefecture 海東地區|海东地区, Qinghai/
互助	ɦu˨˦ ɖʐu˨˦	/to help each other/
互勉	ɦu˨˦ miɛn˥˧	/to encourage each other/
互惠	ɦu˨˦ ɦui˨˦	/mutual benefit/mutually beneficial/reciprocal/
互換	ɦu˨˦ ɦwɔn˨˦	/to exchange/
互文	ɦu˨˦ vun˩	/paired phrases (poetic device)/
互斥	ɦu˨˦ tʃʰiʔᵏ	/mutually exclusive/
互生	ɦu˨˦ ʂəŋ	/alternate phyllotaxy (leaf pattern)/
互異	ɦu˨˦ ji˨˦	/differing from one another/mutually different/
互粉	ɦu˨˦ fun˥˧	/to follow each other's accounts (on Weibo etc)/
互補	ɦu˨˦ pu˥˧	/complementary/to complement each other/
互譯	ɦu˨˦ jiʔᵏ˩	/two-way translation/
互通	ɦu˨˦ tʰuŋ	/to intercommunicate/to interoperate/
互通性	ɦu˨˦ tʰuŋ siŋ˨˦	/interoperability (of communications equipment)/
亓	kʱi˩	/surname Qi/
亓	kʱi˩	/his/her/its/their/
五	(ŋ)u˥˧	/five/5/
五一	(ŋ)u˥˧ ʔiʔᵗ	/5-1 (May 1st)/
五七	(ŋ)u˥˧ tsʰiʔᵗ	/memorial activity 35 days after a person's death/
五七一代	(ŋ)u˥˧ tsʰiʔᵗ ʔiʔᵗ dai˨˦	/generation of 1957/refers to Mao's anti-rightist purge of 1957/
五世	(ŋ)u˥˧ ʃji˨˦	/the fifth (of series of numbered kings)/
五五	(ŋ)u˥˧ (ŋ)u˥˧	/50-50/equal (share, partnership etc)/
五代	(ŋ)u˥˧ dai˨˦	/Five Dynasties, period of history between the fall of the Tang dynasty (907) and the founding of the Song dynasty (960), when five would-be dynasties were established in quick succession in North China/
五代十國	(ŋ)u˥˧ dai˨˦ ʃʱiʔᵖ˩ kwəʔᵏ	/Five Dynasties (907-960) and Ten Kingdoms (902-979), period of political turmoil in ancient China/
五倫	(ŋ)u˥˧ lyun˩	/the five Confucian relationships (ruler-subject, father-son, brother-brother, husband-wife, friend-friend)/
五光十色	(ŋ)u˥˧ kwɑŋ ʃʱiʔᵖ˩ ʂəʔᵏ	/bright and multicolored/of rich variety/(fig.) dazzling/glitzy/
五刑	(ŋ)u˥˧ ɦiŋ˩	/imperial five punishments of feudal China, up to Han times: tattooing characters on the forehead 墨, cutting off the nose 劓, amputation of one or both feet 刖, castration 宮|宫, execution 大辟/Han dynasty onwards: whipping 笞, beating the legs and buttocks with rough thorns 杖, forced labor 徒, exile or banishment 流, capital punishment 死/
五加	(ŋ)u˥˧ kia	/Acanthopanax gracilistylus/
五十	(ŋ)u˥˧ ʃʱiʔᵖ˩	/fifty/
五十步笑百步	(ŋ)u˥˧ ʃʱiʔᵖ˩ bu˨˦ siɛw˨˦ pəʔᵏ bu˨˦	/the one who has retreated 50 steps laughs at the one who has retreated 100 steps (idiom)/the pot calls the kettle black/
五十肩	(ŋ)u˥˧ ʃʱiʔᵖ˩ kiɛn	/adhesive capsulitis (frozen shoulder)/
五十鈴	(ŋ)u˥˧ ʃʱiʔᵖ˩ liŋ˩	/Isuzu/
五卅	(ŋ)u˥˧ saʔᵖ	/abbr. for 五卅運動|五卅运动, The May Thirtieth Movement (1925)/
五口通商	(ŋ)u˥˧ kʰəw˥˧ tʰuŋ ʃiɑŋ	/the five treaty ports forced on Qing China by the 1842 treaty of Nanjing 南京條約|南京条约 that concluded the First Opium War, namely: Guangzhou 廣州|广州, Fuzhou 福州, Ningbo 寧波|宁波, Xiamen or Amoy 廈門|厦门 and Shanghai 上海/
五味	(ŋ)u˥˧ vi˨˦	/the five flavors, namely: sweet 甜, sour 酸, bitter 苦, spicy hot 辣, salty 鹹|咸/all kinds of flavors/
五味俱全	(ŋ)u˥˧ vi˨˦ ky tsʱyuɛn˩	/a complete gamut of all five flavors (idiom); every flavor under the sun/
五味子	(ŋ)u˥˧ vi˨˦ tsɨ˥˧	/schizandra (Schisandra chinensis)/Magnolia vine/
五四	(ŋ)u˥˧ sɨ˨˦	/fourth of May, cf 五四運動|五四运动, national renewal movement that started with 4th May 1919 protest against the Treaty of Versailles/
五子棋	(ŋ)u˥˧ tsɨ˥˧ kʱi˩	/five-in-a-row (game similar to tic-tac-toe)/Japanese: gomoku/gobang/
五官	(ŋ)u˥˧ kwɔn	/five sense organs of TCM (nose, eyes, lips, tongue, ears 鼻目口舌耳)/facial features/
五嶺	(ŋ)u˥˧ liŋ˥˧	/the five ranges separating Hunan and Jiangxi from south China, esp. Guangdong and Guangxi, namely: Dayu 大庾嶺|大庾岭, Dupang 都龐嶺|都庞岭, Qitian 騎田嶺|骑田岭, Mengzhu 萌渚嶺|萌渚岭 and Yuecheng 越城嶺|越城岭/
五嶽	(ŋ)u˥˧ (ŋ)jiɒʔᵏ˩	/Five Sacred Mountains of the Daoists, namely: Mt Tai 泰山 in Shandong, Mt Hua 華山|华山 in Shaanxi, Mt Heng 衡山 in Hunan, Mt Heng 恆山|恒山 in Shanxi, Mt Song 嵩山 in Henan/
五帝	(ŋ)u˥˧ ti˨˦	/Five Emperors from legendary times/possibly tribal leaders before the historiographers got working on them/usually taken to be the Yellow Emperor 黃帝|黄帝 and four of his sons Zhuan Xu 顓頊|颛顼, Di Ku 帝嚳|帝喾, Tang Yao 唐堯|唐尧, Yu Shun 虞舜/
五常	(ŋ)u˥˧ ʃʱiɑŋ˩	/Wuchang county level city in Harbin 哈爾濱|哈尔滨, Heilongjiang/
五常	(ŋ)u˥˧ ʃʱiɑŋ˩	/five constant virtues of Confucianism, namely: benevolence 仁, righteousness 義|义, propriety 禮|礼, wisdom 智 and fidelity 信/five cardinal relationships of Confucianism (between ruler and subject, father and son, husband and wife, brothers, friends)/five phases of Chinese philosophy: water 水, fire 火, wood 木, metal 金, earth 土/
五年計劃	(ŋ)u˥˧ niɛn˩ kji˨˦ ɦwəʔᵏ˩	/Five-Year Plan/
五形	(ŋ)u˥˧ ɦiŋ˩	/Wuxing - "Five Animals" - Martial Art/
五彩	(ŋ)u˥˧ tsʰai˥˧	/five (main) colors (white, black, red, yellow, and blue)/multicolored/
五彩繽紛	(ŋ)u˥˧ tsʰai˥˧ pʰin fun	/all the colors in profusion (idiom); a garish display/
五打一	(ŋ)u˥˧ ta˥˧ ʔiʔᵗ	/to masturbate (slang)/
五指山	(ŋ)u˥˧ tʃɨ˥˧ ʂan	/Wuzhi or Mount Five Finger, Hainan/Wuzhishan City, Hainan/
五星級	(ŋ)u˥˧ siŋ kiʔᵖ	/five-star (hotel)/
五月	(ŋ)u˥˧ (ŋ)jyuɛʔᵗ˩	/May/fifth month (of the lunar year)/
五月份	(ŋ)u˥˧ (ŋ)jyuɛʔᵗ˩ pin	/May/
五月節	(ŋ)u˥˧ (ŋ)jyuɛʔᵗ˩ tsiɛʔᵗ	/Dragon Boat Festival (the 5th day of the 5th lunar month)/
五毛	(ŋ)u˥˧ maw˩	/fifty cents (0.5 RMB)/(fig.) paltry sum of money/(abbr. for 五毛黨|五毛党) hired Internet commenter/
五毛特效	(ŋ)u˥˧ maw˩ dəʔᵏ˩ ɦiaw˨˦	/laughable low-budget special effects/
五河	(ŋ)u˥˧ ɦɔ˩	/Wuhe county in Bengbu 蚌埠, Anhui/Punjab, province of Pakistan/
五洲	(ŋ)u˥˧ tʃiw	/five continents/the world/
五湖四海	(ŋ)u˥˧ ɦu˩ sɨ˨˦ hai˥˧	/all parts of the country/
五濁	(ŋ)u˥˧ ɖʐwɒʔᵏ˩	/the five impurities (Buddhism)/
五營	(ŋ)u˥˧ jyuəŋ˩	/Wuying district of Yichun city 伊春市, Heilongjiang/
五百年前是一家	(ŋ)u˥˧ pəʔᵏ niɛn˩ tsʱiɛn˩ ʃʱɨ'˨˦ ʔiʔᵗ kia	/five hundred years ago we were the same family (idiom) (said of persons with the same surname)/
五筆	(ŋ)u˥˧ piʔᵗ	/abbr. of 五筆字型|五笔字型, five stroke input method for Chinese characters by numbered strokes, invented by Wang Yongmin 王永民 in 1983/
五筆字型	(ŋ)u˥˧ piʔᵗ dzɨ˨˦ ɦiŋ˩	/five stroke input method for Chinese characters by numbered strokes, invented by Wang Yongmin 王永民 in 1983/
五筆字形	(ŋ)u˥˧ piʔᵗ dzɨ˨˦ ɦiŋ˩	/Chinese character input method for entering characters by numbered strokes/variant of 五筆字型|五笔字型/
五等爵位	(ŋ)u˥˧ təŋ˥˧ tsiɒʔᵏ ui˨˦	/five orders of feudal nobility, namely: Duke 公, Marquis 侯, Count 伯, Viscount 子, Baron 男/
五糧液	(ŋ)u˥˧ liɑŋ˩ jiʔᵏ˩	/Wuliangye liquor/Five Grain liquor/
五線譜	(ŋ)u˥˧ siɛn˨˦ pu˥˧	/(music) staff/stave/
五股	(ŋ)u˥˧ ku˥˧	/Wugu township in New Taipei City 新北市, Taiwan/
五胡	(ŋ)u˥˧ ɦu˩	/Five non-Han people, namely: Huns or Xiongnu 匈奴, Xianbei 鮮卑|鲜卑, Jie 羯, Di 氐, Qiang 羌, esp. in connection with the Sixteen Kingdoms 304-439 五胡十六國|五胡十六国/
五胡十六國	(ŋ)u˥˧ ɦu˩ ʃʱiʔᵖ˩ luʔᵏ˩ kwəʔᵏ	/Sixteen Kingdoms of Five non-Han people (ruling most of China 304-439)/
五臟	(ŋ)u˥˧ dzɑŋ˨˦	/five viscera of TCM, namely: heart 心, liver 肝, spleen 脾, lungs 肺 and kidneys 腎|肾/
五臟六腑	(ŋ)u˥˧ dzɑŋ˨˦ luʔᵏ˩ fu˥˧	/five viscera and six bowels (TCM)/
五色	(ŋ)u˥˧ ʂəʔᵏ	/multi-colored/the rainbow/garish/
五色繽紛	(ŋ)u˥˧ ʂəʔᵏ pʰin fun	/all the colors in profusion (idiom); a garish display/
五花八門	(ŋ)u˥˧ hwa paʔᵗ mun˩	/myriad/all kinds of/all sorts of/
五葷	(ŋ)u˥˧ hyun	/(Buddhism etc) the five forbidden pungent vegetables: leek, scallion, garlic, rape and coriander/
五蓮	(ŋ)u˥˧ liɛn˩	/Wulian county in Rizhao 日照, Shandong/
五角	(ŋ)u˥˧ kiɒʔᵏ	/pentagon/
五角場	(ŋ)u˥˧ kiɒʔᵏ tʃʱiɑŋ˩	/Wujiaochang neighborhood of Shanghai, adjacent to Fudan University/
五角形	(ŋ)u˥˧ kiɒʔᵏ ɦiŋ˩	/pentagon/
五言絕句	(ŋ)u˥˧ jiɛn˩ dzyuɛʔᵗ˩ ky˨˦	/poetic form consisting of four lines of five syllables, with rhymes on first, second and fourth line/
五辛	(ŋ)u˥˧ sin	/see 五葷|五荤/
五通	(ŋ)u˥˧ tʰuŋ	/bottom bracket shell (in a bicycle frame)/(Buddhism) the five supernatural powers (abbr. for 五神通)/
五邊形	(ŋ)u˥˧ piɛn ɦiŋ˩	/pentagon/
五金	(ŋ)u˥˧ kim	/metal hardware (nuts and bolts)/the five metals: gold, silver, copper, iron and tin 金銀銅鐵錫|金银铜铁锡/
五金店	(ŋ)u˥˧ kim tiɛm˨˦	/hardware store/ironmonger's store/
五院	(ŋ)u˥˧ (ŋ)jyuɛn˨˦	/Five yuan or courts that formed the government of the Republic of China under Sun Yat-sen's constitution, namely: 行政院 Executive yuan, 立法院 Legislative yuan, 司法院 Judicial yuan, 考試院|考试院 Examination yuan, 監察院|监察院 Control yuan/
五顏六色	(ŋ)u˥˧ (ŋ)jian˩ luʔᵏ˩ ʂəʔᵏ	/multi-colored/every color under the sun/
五香	(ŋ)u˥˧ hiɑŋ	/five spice seasoned/incorporating the five basic flavors of Chinese cooking (sweet, sour, bitter, savory, salty)/
五香粉	(ŋ)u˥˧ hiɑŋ fun˥˧	/five spices powder/
五鬼	(ŋ)u˥˧ kui˥˧	/five chief demons of folklore personifying pestilence/also written 五瘟神/
五鬼鬧判	(ŋ)u˥˧ kui˥˧ naw˨˦ pʰwɔn˨˦	/Five ghosts mock the judge, or Five ghosts resist judgment (title of folk opera, idiom); important personage mobbed by a crowd of ne'er-do-wells/
亙	kəŋ˨˦	/extending all the way across/running all the way through/
亙古	kəŋ˨˦ ku˥˧	/throughout time/from ancient times (up to the present)/
亙古不變	kəŋ˨˦ ku˥˧ puʔᵗ piɛn˨˦	/unchanging since times immemorial (idiom)/unalterable/unvarying/monotonous/
亙古通今	kəŋ˨˦ ku˥˧ tʰuŋ kim	/from ancient times up to now/throughout history/
亟	kiʔᵏ	/urgent/
亟	kʰi˨˦	/repeatedly/frequently/
亟待	kiʔᵏ dai'˨˦	/see 急待/
交	kiaw	/to hand over/to deliver/to pay (money)/to turn over/to make friends/to intersect (lines)/variant of 跤/
交互	kiaw ɦu˨˦	/mutual/interactive/each other/alternately/in turn/interaction/
交付	kiaw fu˨˦	/to hand over/to deliver/
交代	kiaw dai˨˦	/to hand over/to explain/to make clear/to brief (sb)/to account for/to justify oneself/to confess/(coll.) to finish/
交保	kiaw paw˥˧	/to post bail/bail/
交兵	kiaw piŋ	/in a state of war/
交割	kiaw kɔʔᵗ	/delivery (commerce)/
交加	kiaw kia	/to occur at the same time (of two things)/to be mingled/to accompany each other/
交卸	kiaw siɛ˨˦	/to hand over to a successor/to relinquish one's office/
交友	kiaw jiw˥˧	/to make friends/
交口	kiaw kʰəw˥˧	/Jiaokou county in Lüliang 呂梁|吕梁[Lu:3 liang2], Shanxi 山西/
交困	kiaw kʰun˨˦	/beset with difficulties/
交城	kiaw tʃʱiŋ˩	/Jiaocheng county in Lüliang 呂梁|吕梁[Lu:3 liang2], Shanxi 山西/
交媾	kiaw kəw˨˦	/to have sex/to copulate/
交安	kiaw ʔɑn	/road traffic safety (abbr. for 交通安全)/
交尾	kiaw vi˥˧	/to copulate (of animals)/to mate/
交帳	kiaw tʃiɑŋ˨˦	/to settle accounts/
交往	kiaw wɑŋ˥˧	/to associate (with)/to have contact (with)/to hang out (with)/to date/(interpersonal) relationship/association/contact/
交情	kiaw tsʱiŋ˩	/friendship/friendly relations/
交戰	kiaw tʃiɛn˨˦	/to fight/to wage war/
交手	kiaw ʃiw˥˧	/to fight hand to hand/
交拜	kiaw pai˨˦	/to bow to one another/to kneel and kowtow to one another/formal kowtow as part of traditional wedding ceremony/
交接班	kiaw tsiɛʔᵖ pan	/to change shift/
交換	kiaw ɦwɔn˨˦	/to exchange/to swap/to switch (telecom)/commutative (math)/to commute/
交換以太網絡	kiaw ɦwɔn˨˦ ji˥˧ tʰai˨˦ vɑŋ˥˧ lɒʔᵏ˩	/switched Ethernet/
交換器	kiaw ɦwɔn˨˦ kʰi˨˦	/(telecom or network) switch/
交換律	kiaw ɦwɔn˨˦ lyʔᵗ˩	/commutative law xy = yx (math)/
交換機	kiaw ɦwɔn˨˦ kji	/switch (telecommunications)/
交換碼	kiaw ɦwɔn˨˦ ma˥˧	/interchange code/computer coding for characters, including Chinese/
交換網路	kiaw ɦwɔn˨˦ vɑŋ˥˧ lu˨˦	/switched network/
交杯酒	kiaw pui tsiw˥˧	/formal exchange of cups of wine between bride and groom as traditional wedding ceremony/
交歡	kiaw hwɔn	/to have cordial relations with each other/to have sexual intercourse/
交流	kiaw liw˩	/to exchange/exchange/communication/interaction/to have social contact (with sb)/
交流電	kiaw liw˩ diɛn˨˦	/alternating current/
交涉	kiaw ʃiɛʔᵖ	/to negotiate (with)/to have dealings (with)/
交淺言深	kiaw tsʰiɛn˥˧ jiɛn˩ ʃim	/to talk intimately while being comparative strangers (idiom)/
交火	kiaw hwɔ˥˧	/firefight/shooting/
交班	kiaw pan	/to hand over to the next workshift/
交界	kiaw kiai˨˦	/common boundary/common border/
交睫	kiaw tsiɛʔᵖ	/to close one's eyes (i.e. sleep)/
交管	kiaw kwɔn˥˧	/traffic control/
交糧本	kiaw liɑŋ˩ pun˥˧	/to hand in one's ration cards/to die/
交納	kiaw naʔᵖ˩	/to pay (taxes or dues)/
交給	kiaw kiʔᵖ	/to give/to deliver/to hand over/
交臂	kiaw pi˨˦	/linking arms/arm in arm/very close/
交臂失之	kiaw pi˨˦ ʃiʔᵗ tʃɨ	/to miss sb by a narrow chance/to miss an opportunity/
交融	kiaw jyuŋ˩	/to blend/to mix/
交角	kiaw kiɒʔᵏ	/angle of intersection/angle at which two lines meet/
交誼	kiaw (ŋ)ji˨˦	/association/communion/friendship/
交誼舞	kiaw (ŋ)ji˨˦ vu˥˧	/social dance/ballroom dancing/
交談	kiaw tʱam˩	/to discuss/to converse/chat/discussion/
交警	kiaw kiŋ˥˧	/traffic police/abbr. for 交通警察/
交變	kiaw piɛn˨˦	/half-period of a wave motion/alternation/
交變流電	kiaw piɛn˨˦ liw˩ diɛn˨˦	/alternating current/same as 交流電|交流电/
交變電流	kiaw piɛn˨˦ diɛn˨˦ liw˩	/alternating current (electricity)/
交貨	kiaw hwɔ˨˦	/to deliver goods/
交趾	kiaw tʃɨ˥˧	/former southernmost province of the Chinese Empire, now northern Vietnam/
交辦	kiaw ban˨˦	/to assign (a task to sb)/
交迫	kiaw pəʔᵏ	/to be beleaguered/
交通	kiaw tʰuŋ	/to be connected/traffic/transportation/communications/liaison/
交通工具	kiaw tʰuŋ kuŋ gy˨˦	/means of transportation/vehicle/
交通立體化	kiaw tʰuŋ liʔᵖ˩ tʰi˥˧ hwa˨˦	/grade separation/
